#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_dunum;Dunum;;;;;;;;;;;;;x
b_durnovaria;Durnovaria;;;;;;;;;;;;;x
b_sea_palace;the Sea Palace;;;;;;;;;;;;;x
b_mai_dun;Mai Dun;;;;;;;;;;;;;x
b_lindinis;Lindinis;;;;;;;;;;;;;x
b_lindinischurch;Lindinis;;;;;;;;;;;;;x
b_caer_cadarn;Caer Cadarn;;;;;;;;;;;;;x
b_dun_caric;Dun Caric;;;;;;;;;;;;;x
b_ynys_wydryn;Ynys Wydryn;;;;;;;;;;;;;x
b_avalontown;Ermid's Hall;;;;;;;;;;;;;x
b_holy_thorn;the Holy Thorn;;;;;;;;;;;;;x
b_combecastle;Combe Manor;;;;;;;;;;;;;x
b_combetown;Aberbridge;;;;;;;;;;;;;x
b_aquae_sulis;Aquae Sulis;;;;;;;;;;;;;x
b_aquae_sulistown;Thornbury;;;;;;;;;;;;;x
b_aquae_sulistemple;Sulis Minerva;;;;;;;;;;;;;x
b_baddon_hill;Mynydd Baddon;;;;;;;;;;;;;x
b_coriniumcastle;Corinium Castle;;;;;;;;;;;;;x
b_corinium;Corinium;;;;;;;;;;;;;x
b_coriniumtemple;Corinium;;;;;;;;;;;;;x
b_vindocladiacastle;Vindocladia Castle;;;;;;;;;;;;;x
b_vindocladia;Vindocladia;;;;;;;;;;;;;x
b_durotrigia;Durotrigia;;;;;;;;;;;;;x
b_vectiscastle;Medina;;;;;;;;;;;;;x
b_vectistown;Verdicum;;;;;;;;;;;;;x
b_caer_ambra;Caer Ambra;;;;;;;;;;;;;x
b_the_stones;Ambra;;;;;;;;;;;;;x
b_sorviodunum;Onndwfr;;;;;;;;;;;;;x
b_ventacastle;Caradon Hill;;;;;;;;;;;;;x
b_venta;Venta Belgarum;;;;;;;;;;;;;x
b_callevacastle;Calleva Manor;;;;;;;;;;;;;x
b_calleva;Calleva;;;;;;;;;;;;;x
b_callevatemple;Calleva;;;;;;;;;;;;;x
b_cunetiocastle;Cunetio;;;;;;;;;;;;;x
b_cunetio;Durocornovium;;;;;;;;;;;;;x
b_cunetiotemple;White Horse Vale;;;;;;;;;;;;;x
b_portus_adurnicastle;Clausentium;;;;;;;;;;;;;x
b_portus_adurnitown;Portus Adurni;;;;;;;;;;;;;x
b_portus_magnus;Portus Magnus;;;;;;;;;;;;;x
b_portus_adurnifort;Regnum;;;;;;;;;;;;;x
b_durocobriviscastle;Durocobrivis;;;;;;;;;;;;;x
b_durocobrivistown;Totternhoe;;;;;;;;;;;;;x
b_verulaniumcastle;Verulamium;;;;;;;;;;;;;x
b_verulaniumtown;Sulloniacis;;;;;;;;;;;;;x
b_iscacastle;Isca Manor;;;;;;;;;;;;;x
b_isca;Isca;;;;;;;;;;;;;x
b_iscatemple;Deepwood;;;;;;;;;;;;;x
b_exmoorcastle;Dunster;;;;;;;;;;;;;x
b_exmoortown;Velluna;;;;;;;;;;;;;;x
b_dartmoorcastle;Cornwood Manor;;;;;;;;;;;;;x
b_halcwym;Halcwym;;;;;;;;;;;;;x
b_artlandcastle;Stoke Manor;;;;;;;;;;;;;x
b_dunsmouth;Dunsmouth;;;;;;;;;;;;;x
b_glevumcastle;Glevum Castle;;;;;;;;;;;;;x
b_glevum;Glevum;;;;;;;;;;;;;x
b_glevumtemple;Glevum;;;;;;;;;;;;;x
b_avonacastle;Præsidium;;;;;;;;;;;;;x
b_avonatown;Bonaventum;;;;;;;;;;;;;x
b_alchestercastle;Ælia Castra;;;;;;;;;;;;;x
b_lactodorumcastle;Dun Càir;;;;;;;;;;;;;x
b_lactodorum;Lactodorum;;;;;;;;;;;;;x
b_caer_galecum;Caer Galecum;;;;;;;;;;;;;x
b_lactodorumtemple;Woodcove;;;;;;;;;;;;;x
b_magniscastle;Magnis;;;;;;;;;;;;;x
b_magnistown;Bravonium;;;;;;;;;;;;;x
b_magnistemple;Clyro;;;;;;;;;;;;;x
b_vicus_fluvii;Vicus Fluvii;;;;;;;;;;;;;x
b_burriumcastle;Burrium;;;;;;;;;;;;;x
b_burriumtown;Casgwent;;;;;;;;;;;;;x
b_venta_siluria;Venta Siluria;;;;;;;;;;;;;x
b_gobanniumcastle;Gobannium;;;;;;;;;;;;;x
b_blestium;Blestium;;;;;;;;;;;;;x
b_din_tagell;Din Tagell;;;;;;;;;;;;;x
b_din_tagelltown;Bodmin;;;;;;;;;;;;;x
b_tamaracastle;Restormel Castle;;;;;;;;;;;;;x
b_tamaratown;Ceton;;;;;;;;;;;;;x
b_tregonycastle;Tregony Castle;;;;;;;;;;;;;x
b_tregonytown;Tresillian;;;;;;;;;;;;;x
b_lamorran_wood;Lamorran Wood;;;;;;;;;;;;;x
b_lands_end;Land's End;;;;;;;;;;;;;x
b_guendron;Guendron;;;;;;;;;;;;;x
b_mullion;Mullion;;;;;;;;;;;;;x
b_verian;Verian;;;;;;;;;;;;;x
b_isca_siluriacastle;Cair Dunad;;;;;;;;;;;;;x
b_isca_siluriatown;Isca Siluria;;;;;;;;;;;;;x
b_llandow;Llancarfan;;;;;;;;;;;;;x
b_penarth;Cor Tewdws;;;;;;;;;;;;;x
b_nidumcastle;Abercael Manor;;;;;;;;;;;;;x
b_nidumtown;Nidum;;;;;;;;;;;;;x
b_caer_swyscastle;Caer Swys;;;;;;;;;;;;;x
b_caer_dolforwyn;Caer Dolforwyn;;;;;;;;;;;;;x
b_caer_swystown;Llanvael;;;;;;;;;;;;;x
b_branogenium;Branogenium;;;;;;;;;;;;;x
b_mathrafal;Maesmwyr;;;;;;;;;;;;;x
b_pengwern;Pengwern Manor;;;;;;;;;;;;;x
b_pengwerntown;Severnia;;;;;;;;;;;;;x
b_lugg_valecastle;Caer Lud;;;;;;;;;;;;;x
b_lugg_valetown;Bryncross;;;;;;;;;;;;;x
b_lugg_valetemple;Coel's Hill;;;;;;;;;;;;;x
b_bueltcastle;Caer Bedris;;;;;;;;;;;;;x
b_buelttown;Brynllech;;;;;;;;;;;;;x
b_ceredigioncastle;Dinas Maelor;;;;;;;;;;;;;x
b_ceredigiontown;Merthyr;;;;;;;;;;;;;x
b_tregaron;Tregaron;;;;;;;;;;;;;x
b_cardigancastle;Bryndwr Castle;;;;;;;;;;;;;x
b_cardigantown;Glynfridd;;;;;;;;;;;;;x
b_cardigantemple;Pennal;;;;;;;;;;;;;x
b_aberporth;Aberporth;;;;;;;;;;;;;x
b_aberaeron;Aberaeron;;;;;;;;;;;;;x
b_cicuciumcastle;Talgarth;;;;;;;;;;;;;x
b_cicuciumtown;Brynfford;;;;;;;;;;;;;x
b_cicuciumtemple;Bachannis;;;;;;;;;;;;;x
b_viroconiumcastle;Viroconium;;;;;;;;;;;;;x
b_viroconiumtown;Letocetum;;;;;;;;;;;;;x
b_viroconiumtemple;Oaks Cross;;;;;;;;;;;;;x
b_dinnewraccastle;Caer Clyd;;;;;;;;;;;;;x
b_dinnewrac;Dinnewrac;;;;;;;;;;;;;x
b_arden_forestcastle;Dorn Manor;;;;;;;;;;;;;x
b_arden_foresttown;Arden;;;;;;;;;;;;;x
b_reptoncastle;Willington;;;;;;;;;;;;;x
b_reptontemple;Repton;;;;;;;;;;;;;x
b_rataecastle;Ratae;;;;;;;;;;;;;x
b_rataetown;Venonae;;;;;;;;;;;;;x
b_tripontiumcastle;Fosse Manor;;;;;;;;;;;;;x
b_tripontiumtown;Tripontium;;;;;;;;;;;;;x
b_caer_geicastle;Dolgellau;;;;;;;;;;;;;x
b_caer_geitown;Meirion;;;;;;;;;;;;;x
b_gwyneddcastle;Caer Gei;;;;;;;;;;;;;x
b_gwyneddtown;Varæ;;;;;;;;;;;;;x
b_bonium;Bonium;;;;;;;;;;;;;x
b_deganwycastle;Deganwy Castle;;;;;;;;;;;;;x
b_canovium;Canovium;;;;;;;;;;;;;x
b_devacastle;Deva;;;;;;;;;;;;;x
b_devatown;Llandun;;;;;;;;;;;;;x
b_brynford;Brynford;;;;;;;;;;;;;x
b_treboeth;Treboeth;;;;;;;;;;;;;x
b_dolbadarn;Dolbadarn;;;;;;;;;;;;;x
b_eburacumcastle;Eburacum;;;;;;;;;;;;;x
b_eburacumtown;Dinas;;;;;;;;;;;;;x
b_eburacumtemple;Olicana;;;;;;;;;;;;;x
b_peveril;Peveril Castle;;;;;;;;;;;;;x
b_petuariacastle;Castra Pætuaria;;;;;;;;;;;;;x
b_humber;Pætuaria;;;;;;;;;;;;;x
b_delgoviciacastle;Delgovicia;;;;;;;;;;;;;x
b_delgoviciatemple;Praetorium;;;;;;;;;;;;;x
